,x,y,Appliances
0,21.5,6.062177826491071,60
1,20.0,6.9282032302755105,60
2,18.0,6.9282032302755105,50
3,15.5,6.062177826491071,50
4,21.5,7.794228634059948,60
5,15.0,6.9282032302755105,50
6,14.5,7.794228634059948,60
7,16.5,7.794228634059948,60
8,17.5,7.794228634059948,60
9,24.0,8.660254037844387,70
10,20.0,8.660254037844387,230
11,21.0,8.660254037844387,580
12,16.5,7.794228634059948,430
13,19.0,8.660254037844387,250
14,15.0,8.660254037844387,100
15,18.0,12.124355652982143,100
16,15.0,8.660254037844387,90
17,14.5,7.794228634059948,70
18,19.0,8.660254037844387,80
19,16.0,8.660254037844387,140
20,14.0,8.660254037844387,120
21,20.5,9.526279441628825,190
22,17.0,8.660254037844387,110
23,23.0,8.660254037844387,110
24,20.5,9.526279441628825,110
25,19.5,9.526279441628825,110
26,24.0,8.660254037844387,100
27,19.5,9.526279441628825,100
28,14.5,7.794228634059948,100
29,20.0,12.124355652982143,100
30,19.0,8.660254037844387,110
31,16.0,12.124355652982143,400
32,17.5,12.99038105676658,400
33,22.5,11.258330249197702,390
34,14.0,6.9282032302755105,240
35,15.0,12.124355652982143,60
36,14.5,7.794228634059948,60
37,23.0,10.392304845413264,60
38,14.5,11.258330249197702,50
39,19.0,12.124355652982143,70
40,14.0,8.660254037844387,60
41,15.5,11.258330249197702,40
42,13.0,8.660254037844387,40
43,17.5,11.258330249197702,30
44,17.5,11.258330249197702,40
45,14.0,8.660254037844387,50
46,23.5,9.526279441628825,310
47,18.5,9.526279441628825,380
48,15.5,7.794228634059948,380
49,16.5,7.794228634059948,370
50,19.0,8.660254037844387,120
51,14.5,7.794228634059948,50
52,19.0,10.392304845413264,40
53,21.5,9.526279441628825,50
54,22.5,9.526279441628825,40
55,22.5,9.526279441628825,50
56,20.5,9.526279441628825,50
57,18.0,8.660254037844387,50
58,16.0,8.660254037844387,40
59,19.5,9.526279441628825,40
60,14.5,7.794228634059948,30
61,20.5,9.526279441628825,20
62,18.5,9.526279441628825,20
63,20.5,9.526279441628825,40
64,17.0,8.660254037844387,50
65,21.5,9.526279441628825,50
66,18.5,9.526279441628825,40
67,15.5,7.794228634059948,50
68,22.5,9.526279441628825,40
69,14.5,7.794228634059948,40
70,20.5,9.526279441628825,40
71,14.5,7.794228634059948,60
72,20.0,10.392304845413264,50
73,20.5,9.526279441628825,50
74,18.5,9.526279441628825,40
75,14.5,7.794228634059948,40
76,14.5,7.794228634059948,40
77,19.5,9.526279441628825,40
78,15.5,7.794228634059948,50
79,14.5,7.794228634059948,70
80,19.0,10.392304845413264,40
81,15.5,9.526279441628825,30
82,19.0,10.392304845413264,20
83,20.0,10.392304845413264,30
84,15.0,8.660254037844387,40
85,21.0,10.392304845413264,50
86,16.0,8.660254037844387,60
87,22.5,9.526279441628825,60
88,20.5,9.526279441628825,70
89,22.0,8.660254037844387,60
90,21.0,8.660254037844387,140
91,23.0,8.660254037844387,110
92,17.0,8.660254037844387,90
93,14.5,7.794228634059948,60
94,14.5,7.794228634059948,60
95,14.5,7.794228634059948,60
96,18.5,9.526279441628825,50
97,19.0,10.392304845413264,60
98,14.5,7.794228634059948,50
99,17.0,10.392304845413264,30
100,16.0,10.392304845413264,40
101,19.5,11.258330249197702,30
102,21.0,10.392304845413264,260
103,13.5,7.794228634059948,500
104,16.0,10.392304845413264,450
105,21.5,9.526279441628825,50
106,22.5,9.526279441628825,60
107,18.5,11.258330249197702,60
108,14.0,6.9282032302755105,50
109,16.5,11.258330249197702,50
110,13.5,7.794228634059948,50
111,15.0,10.392304845413264,60
112,19.5,11.258330249197702,60
113,19.0,12.124355652982143,60
114,24.0,10.392304845413264,60
115,24.0,10.392304845413264,190
116,14.0,12.124355652982143,220
117,23.5,11.258330249197702,170
118,18.0,13.856406460551021,390
119,15.5,12.99038105676658,90
120,13.0,5.196152422706632,60
121,17.0,13.856406460551021,290
122,18.0,13.856406460551021,130
123,22.5,12.99038105676658,140
124,13.5,12.99038105676658,240
125,18.0,13.856406460551021,50
126,17.5,14.722431864335457,60
127,22.5,12.99038105676658,60
128,22.5,12.99038105676658,60
129,16.0,13.856406460551021,370
130,16.0,13.856406460551021,200
131,24.0,12.124355652982143,70
132,24.0,12.124355652982143,50
133,15.0,13.856406460551021,40
134,13.0,5.196152422706632,40
135,16.0,13.856406460551021,30
136,16.0,13.856406460551021,30
137,17.5,14.722431864335457,30
138,12.5,4.330127018922194,30
139,17.5,14.722431864335457,40
140,14.0,13.856406460551021,50
141,15.0,13.856406460551021,40
142,23.5,12.99038105676658,40
143,23.5,12.99038105676658,40
144,12.0,12.124355652982143,60
145,18.0,13.856406460551021,60
146,24.0,12.124355652982143,210
147,13.0,12.124355652982143,380
148,24.5,11.258330249197702,370
149,13.5,6.062177826491071,230
150,17.5,7.794228634059948,80
151,16.5,12.99038105676658,90
152,20.5,12.99038105676658,70
153,18.5,12.99038105676658,40
154,17.5,12.99038105676658,40
155,23.5,7.794228634059948,30
156,17.5,12.99038105676658,50
157,24.0,8.660254037844387,50
158,22.5,7.794228634059948,60
159,23.5,7.794228634059948,50
160,22.5,7.794228634059948,60
161,14.0,6.9282032302755105,60
162,19.0,12.124355652982143,60
